Local time	Ask	Bid	AskVolume	BidVolume
01.01.2010 00:23:27.144 GMT+0300	1.61605	1.6155	1.6	1.6
01.01.2010 00:23:37.121 GMT+0300	1.6161	1.6155	1.6	3.2
01.01.2010 00:23:46.369 GMT+0300	1.6161	1.61555	1.6	1.6
01.01.2010 00:24:05.845 GMT+0300	1.6161	1.6155	1.6	1.6
01.01.2010 00:24:19.581 GMT+0300	1.6161	1.6155	1.6	3.2
01.01.2010 00:24:19.761 GMT+0300	1.6161	1.6155	1.6	1.6
01.01.2010 00:24:20.701 GMT+0300	1.61605	1.61545	1.6	4
01.01.2010 00:24:20.881 GMT+0300	1.61605	1.61545	1.6	3.2
01.01.2010 00:24:20.991 GMT+0300	1.61605	1.61545	3.2	3.2
01.01.2010 00:24:24.130 GMT+0300	1.61605	1.6156	3.2	1.6
01.01.2010 00:24:24.410 GMT+0300	1.61625	1.61565	1.6	1
01.01.2010 00:24:24.650 GMT+0300	1.61625	1.61565	1.6	1.6
01.01.2010 00:24:26.410 GMT+0300	1.61625	1.6157	1.6	1
01.01.2010 00:24:28.259 GMT+0300	1.61625	1.61575	1.6	1
01.01.2010 00:24:43.795 GMT+0300	1.61625	1.6157	1.6	1
01.01.2010 00:24:44.066 GMT+0300	1.61635	1.6158	1	2.4
01.01.2010 00:24:44.356 GMT+0300	1.6165	1.61585	1.6	3.2
01.01.2010 00:24:44.706 GMT+0300	1.6165	1.6159	1.6	1.6
01.01.2010 00:24:45.575 GMT+0300	1.6165	1.61585	1.6	4.8
01.01.2010 00:24:47.325 GMT+0300	1.6165	1.61585	1.6	3.2
01.01.2010 00:24:47.864 GMT+0300	1.6165	1.61585	1.6	4.8
01.01.2010 00:24:48.604 GMT+0300	1.61635	1.61585	1.6	2.4
01.01.2010 00:24:48.774 GMT+0300	1.61635	1.61575	3.2	1.7
01.01.2010 00:24:49.404 GMT+0300	1.61635	1.61575	1.6	3.3
01.01.2010 00:24:51.104 GMT+0300	1.61635	1.61575	1.6	4.1
01.01.2010 00:24:51.344 GMT+0300	1.61635	1.61595	1.6	1
01.01.2010 00:24:51.524 GMT+0300	1.61645	1.61595	2.4	1
01.01.2010 00:24:58.702 GMT+0300	1.61645	1.61595	4	1
01.01.2010 00:25:11.569 GMT+0300	1.61606	1.61586	1	1.8
01.01.2010 00:25:12.259 GMT+0300	1.61609	1.61589	1	1
01.01.2010 00:25:14.538 GMT+0300	1.6161	1.6159	1	1.7
01.01.2010 00:25:14.768 GMT+0300	1.61612	1.61592	1	1.7
01.01.2010 00:25:15.328 GMT+0300	1.61612	1.61592	1	1
01.01.2010 00:25:16.188 GMT+0300	1.61614	1.61594	1	1
01.01.2010 00:25:23.206 GMT+0300	1.61614	1.61594	1	1
01.01.2010 00:25:26.625 GMT+0300	1.61619	1.61589	1	1
01.01.2010 00:25:26.955 GMT+0300	1.61618	1.61588	1	1
01.01.2010 00:25:29.704 GMT+0300	1.61618	1.61588	1	1
01.01.2010 00:25:32.134 GMT+0300	1.61616	1.61586	1	1.1
01.01.2010 00:25:33.073 GMT+0300	1.61616	1.61586	1	1.7
01.01.2010 00:25:37.113 GMT+0300	1.61612	1.61592	1	1.7
01.01.2010 00:25:40.232 GMT+0300	1.61612	1.61592	1	1
01.01.2010 00:25:41.522 GMT+0300	1.61612	1.61592	1	1
01.01.2010 00:25:46.090 GMT+0300	1.61613	1.61593	1	1.7
01.01.2010 00:25:46.430 GMT+0300	1.61615	1.61595	1	1
01.01.2010 00:25:46.820 GMT+0300	1.61617	1.61597	1	1
01.01.2010 00:26:26.971 GMT+0300	1.61645	1.61615	1.1	1
01.01.2010 00:26:27.490 GMT+0300	1.61645	1.61615	1	1
01.01.2010 00:26:47.816 GMT+0300	1.6164	1.61615	1.6	1
01.01.2010 00:26:48.046 GMT+0300	1.6162	1.6159	1	1
01.01.2010 00:26:51.795 GMT+0300	1.61615	1.61595	1	1
01.01.2010 00:26:52.145 GMT+0300	1.61655	1.61595	4	1
01.01.2010 00:26:55.894 GMT+0300	1.61645	1.61595	5.6	1
01.01.2010 00:26:57.094 GMT+0300	1.6162	1.6159	1	2
01.01.2010 00:26:57.203 GMT+0300	1.6162	1.6159	1	1.6
01.01.2010 00:26:57.323 GMT+0300	1.6162	1.61585	1	1
01.01.2010 00:26:58.613 GMT+0300	1.61625	1.61605	1.6	1
01.01.2010 00:26:58.903 GMT+0300	1.61645	1.61605	1	1
01.01.2010 00:27:03.592 GMT+0300	1.6164	1.6161	1	1
01.01.2010 00:27:03.762 GMT+0300	1.6164	1.61605	1	1.6
01.01.2010 00:27:03.932 GMT+0300	1.6164	1.61595	1	1.6
01.01.2010 00:27:25.296 GMT+0300	1.6164	1.616	1	1
01.01.2010 00:27:26.226 GMT+0300	1.6164	1.61605	1	1
01.01.2010 00:27:38.574 GMT+0300	1.6164	1.616	1	1
01.01.2010 00:27:40.233 GMT+0300	1.6164	1.616	1	1
01.01.2010 00:27:40.293 GMT+0300	1.6164	1.616	1	1
01.01.2010 00:27:42.293 GMT+0300	1.6164	1.61605	1	1
01.01.2010 00:27:43.342 GMT+0300	1.6164	1.6161	1	1
01.01.2010 00:28:07.447 GMT+0300	1.61615	1.61605	1	1
01.01.2010 00:28:13.515 GMT+0300	1.61615	1.61595	1	1
01.01.2010 00:28:24.262 GMT+0300	1.61615	1.616	1	1
01.01.2010 00:28:30.831 GMT+0300	1.61615	1.61595	1	1
01.01.2010 00:28:31.641 GMT+0300	1.61615	1.61585	1	1
01.01.2010 00:28:33.300 GMT+0300	1.61615	1.61595	1	1
01.01.2010 00:28:34.300 GMT+0300	1.61615	1.616	1	1
01.01.2010 00:28:35.340 GMT+0300	1.61615	1.61585	1	1
01.01.2010 00:28:38.309 GMT+0300	1.61615	1.61585	1	1.1
01.01.2010 00:28:39.279 GMT+0300	1.61615	1.61595	1	1
01.01.2010 00:28:47.437 GMT+0300	1.61615	1.616	1	1
01.01.2010 00:28:56.245 GMT+0300	1.6162	1.616	1	1
01.01.2010 00:28:56.475 GMT+0300	1.61625	1.616	1	1
01.01.2010 00:29:13.051 GMT+0300	1.61625	1.616	1	1
01.01.2010 00:29:14.291 GMT+0300	1.61625	1.61605	1	1
01.01.2010 00:29:26.338 GMT+0300	1.61625	1.616	1	1
01.01.2010 00:29:30.926 GMT+0300	1.6162	1.616	1	1
01.01.2010 00:30:11.966 GMT+0300	1.6162	1.61605	1	1
01.01.2010 00:30:53.617 GMT+0300	1.61625	1.61605	1	1
01.01.2010 00:30:53.787 GMT+0300	1.6164	1.6162	1	1
01.01.2010 00:30:58.225 GMT+0300	1.6164	1.61625	1	1
01.01.2010 00:30:59.715 GMT+0300	1.6165	1.61645	1.6	1
01.01.2010 00:31:01.854 GMT+0300	1.6165	1.6162	1.6	1
01.01.2010 00:31:18.970 GMT+0300	1.61645	1.61615	1.4	1
01.01.2010 00:31:19.150 GMT+0300	1.61635	1.6161	1.6	1
01.01.2010 00:31:20.090 GMT+0300	1.61635	1.6161	1.8	1
01.01.2010 00:31:20.360 GMT+0300	1.6163	1.6161	1	1
01.01.2010 00:31:29.258 GMT+0300	1.6163	1.6161	2.2	1
01.01.2010 00:31:29.438 GMT+0300	1.6163	1.616	3.8	1
01.01.2010 00:31:29.608 GMT+0300	1.61625	1.616	3.2	1
01.01.2010 00:31:29.778 GMT+0300	1.6162	1.616	2.2	1
01.01.2010 00:31:29.958 GMT+0300	1.6162	1.61595	2.2	1
01.01.2010 00:31:30.128 GMT+0300	1.6162	1.61595	3.8	1
01.01.2010 00:31:32.237 GMT+0300	1.6162	1.616	3.8	1
01.01.2010 00:31:33.847 GMT+0300	1.61615	1.61605	1.6	1
01.01.2010 00:31:34.077 GMT+0300	1.6162	1.616	3.8	1
01.01.2010 00:31:36.106 GMT+0300	1.6162	1.61605	3.8	1
01.01.2010 00:31:42.155 GMT+0300	1.6162	1.616	3.8	1
01.01.2010 00:31:46.184 GMT+0300	1.6162	1.61605	3.8	1
01.01.2010 00:31:46.294 GMT+0300	1.6162	1.61605	3.8	1
01.01.2010 00:31:50.173 GMT+0300	1.6162	1.6156	3.8	1.6
01.01.2010 00:31:50.403 GMT+0300	1.61615	1.6156	3.2	1.5
01.01.2010 00:31:50.523 GMT+0300	1.61615	1.6156	3.2	1
01.01.2010 00:31:50.633 GMT+0300	1.61615	1.61545	3.2	1
01.01.2010 00:31:50.743 GMT+0300	1.61605	1.61535	1.6	4.8
01.01.2010 00:31:51.383 GMT+0300	1.61605	1.61545	3.2	4.8
01.01.2010 00:31:54.272 GMT+0300	1.616	1.61545	1.6	4.8
