Local time	Ask	Bid	AskVolume	BidVolume
01.01.2010 00:19:59.584 GMT+0300	0.88635	0.886	3.2	4.7
01.01.2010 00:20:05.822 GMT+0300	0.8864	0.886	3.2	4.7
01.01.2010 00:20:07.532 GMT+0300	0.88635	0.886	3.2	4.7
01.01.2010 00:20:12.821 GMT+0300	0.8863	0.88605	4	2.3
01.01.2010 00:20:12.981 GMT+0300	0.88625	0.88605	1	2.3
01.01.2010 00:20:17.740 GMT+0300	0.8863	0.88605	4	2.3
01.01.2010 00:20:19.979 GMT+0300	0.88635	0.88605	1	1.5
01.01.2010 00:20:20.259 GMT+0300	0.88645	0.88605	3.2	1.5
01.01.2010 00:21:23.874 GMT+0300	0.88645	0.88605	1	1.5
01.01.2010 00:21:36.211 GMT+0300	0.88645	0.88605	3.2	1.5
01.01.2010 00:21:36.441 GMT+0300	0.8865	0.88605	3.3	1.5
01.01.2010 00:21:44.269 GMT+0300	0.8864	0.88605	1	1.5
01.01.2010 00:22:02.884 GMT+0300	0.8864	0.88605	3.2	1.5
01.01.2010 00:22:22.270 GMT+0300	0.8864	0.88605	1	1.5
01.01.2010 00:22:33.437 GMT+0300	0.88645	0.88605	3.2	1.5
01.01.2010 00:23:37.181 GMT+0300	0.8864	0.88605	1	1.5
01.01.2010 00:23:46.199 GMT+0300	0.8864	0.88605	3.2	1.5
01.01.2010 00:24:05.405 GMT+0300	0.8864	0.88605	3.2	4.7
01.01.2010 00:24:05.744 GMT+0300	0.88645	0.88605	3.2	4.7
01.01.2010 00:24:20.641 GMT+0300	0.88645	0.88615	3.2	4.7
01.01.2010 00:24:24.180 GMT+0300	0.88645	0.88615	3.2	3.2
01.01.2010 00:24:24.410 GMT+0300	0.8864	0.8859	3.2	4.7
01.01.2010 00:24:26.230 GMT+0300	0.8864	0.8858	3.3	9.5
01.01.2010 00:24:29.389 GMT+0300	0.88635	0.88605	1	1
01.01.2010 00:24:29.559 GMT+0300	0.8863	0.8861	1	1
01.01.2010 00:24:29.729 GMT+0300	0.88635	0.8861	4.4	1
01.01.2010 00:24:34.258 GMT+0300	0.8863	0.8861	1	1
01.01.2010 00:24:34.478 GMT+0300	0.8864	0.88615	1	4.7
01.01.2010 00:24:34.768 GMT+0300	0.8868	0.8862	3.2	4.7
01.01.2010 00:24:34.988 GMT+0300	0.8868	0.88625	3.2	4.7
01.01.2010 00:24:35.288 GMT+0300	0.88685	0.88625	4.8	4.7
01.01.2010 00:24:35.517 GMT+0300	0.88685	0.88625	3.2	4.7
01.01.2010 00:24:35.818 GMT+0300	0.88675	0.88625	1	4.7
01.01.2010 00:24:36.058 GMT+0300	0.8868	0.8863	3.2	4.7
01.01.2010 00:24:37.047 GMT+0300	0.8869	0.8864	3.2	1.5
01.01.2010 00:24:40.686 GMT+0300	0.88685	0.88645	3.2	4.7
01.01.2010 00:24:41.946 GMT+0300	0.8868	0.88645	3.2	4.7
01.01.2010 00:24:42.126 GMT+0300	0.88685	0.8865	3.2	1.5
01.01.2010 00:24:43.675 GMT+0300	0.8869	0.8865	3.3	1.5
01.01.2010 00:24:43.955 GMT+0300	0.88675	0.88645	3.2	4.7
01.01.2010 00:24:44.295 GMT+0300	0.8867	0.88635	3.2	4.7
01.01.2010 00:24:45.405 GMT+0300	0.8866	0.88635	3.2	1.5
01.01.2010 00:24:45.515 GMT+0300	0.8866	0.8863	3.2	4.7
01.01.2010 00:24:45.575 GMT+0300	0.8867	0.88635	3.2	4.7
01.01.2010 00:24:45.695 GMT+0300	0.88665	0.88635	3.2	4.7
01.01.2010 00:24:46.335 GMT+0300	0.8866	0.8863	3.2	4.7
01.01.2010 00:24:47.385 GMT+0300	0.8866	0.88635	3.2	1.5
01.01.2010 00:24:47.685 GMT+0300	0.8866	0.8863	3.2	4.7
01.01.2010 00:24:48.494 GMT+0300	0.88665	0.88635	3.2	4.7
01.01.2010 00:24:48.664 GMT+0300	0.88665	0.88635	3.2	1.5
01.01.2010 00:24:48.824 GMT+0300	0.88665	0.88625	3.2	4.7
01.01.2010 00:24:49.064 GMT+0300	0.8866	0.88625	3.2	4.7
01.01.2010 00:24:49.294 GMT+0300	0.88655	0.88625	1	3.2
01.01.2010 00:24:49.465 GMT+0300	0.8866	0.88625	3.2	4.7
01.01.2010 00:24:51.344 GMT+0300	0.88645	0.88625	1	1.5
01.01.2010 00:24:51.524 GMT+0300	0.88645	0.8862	1	5.5
01.01.2010 00:25:08.539 GMT+0300	0.88645	0.8862	4.4	4
01.01.2010 00:25:08.879 GMT+0300	0.88645	0.8862	4	4
01.01.2010 00:25:09.549 GMT+0300	0.88645	0.8862	1	4
