Local time	Ask	Bid	AskVolume	BidVolume
01.01.2010 00:12:12.938 GMT+0300	1.43166	1.43155	1.4	2.3
01.01.2010 00:12:22.449 GMT+0300	1.43168	1.43159	1.9	2.5
01.01.2010 00:12:24.729 GMT+0300	1.43171	1.43159	3	1.9
01.01.2010 00:12:25.637 GMT+0300	1.4317	1.4316	1.5	1.9
01.01.2010 00:12:27.240 GMT+0300	1.4317	1.43158	1.5	1.5
01.01.2010 00:12:30.129 GMT+0300	1.43165	1.43155	1.5	4.7
01.01.2010 00:12:32.166 GMT+0300	1.43161	1.43148	1.4	1.5
01.01.2010 00:12:32.388 GMT+0300	1.43154	1.43142	1.5	2.3
01.01.2010 00:12:32.995 GMT+0300	1.43152	1.43142	3.4	6.6
01.01.2010 00:12:33.222 GMT+0300	1.43156	1.43144	1.5	1.5
01.01.2010 00:12:37.631 GMT+0300	1.43161	1.43149	4.2	1.5
01.01.2010 00:12:40.331 GMT+0300	1.43165	1.43153	1.5	53.9
01.01.2010 00:12:41.342 GMT+0300	1.43166	1.43156	4.5	1.5
01.01.2010 00:12:44.473 GMT+0300	1.43172	1.43161	4.7	6.8
01.01.2010 00:12:50.728 GMT+0300	1.43178	1.43167	1.9	5.1
01.01.2010 00:12:53.842 GMT+0300	1.4318	1.43172	2.6	1.4
01.01.2010 00:13:04.489 GMT+0300	1.4319	1.4318	3.2	3.6
01.01.2010 00:13:08.048 GMT+0300	1.43196	1.43186	2.7	1.7
01.01.2010 00:13:10.817 GMT+0300	1.43204	1.43195	1.9	2.7
01.01.2010 00:13:12.948 GMT+0300	1.43212	1.43202	1.5	1.9
01.01.2010 00:13:15.468 GMT+0300	1.43225	1.43213	1.9	1.5
01.01.2010 00:13:17.518 GMT+0300	1.43232	1.43222	1.7	3.8
01.01.2010 00:13:19.734 GMT+0300	1.43232	1.43222	2.5	1.5
01.01.2010 00:13:28.269 GMT+0300	1.4322	1.4321	2.5	2.3
01.01.2010 00:13:31.038 GMT+0300	1.43204	1.43194	2.3	2.5
01.01.2010 00:13:34.408 GMT+0300	1.43187	1.43173	1.9	2.3
01.01.2010 00:13:36.526 GMT+0300	1.43168	1.43156	1.3	6.1
01.01.2010 00:13:38.748 GMT+0300	1.43159	1.43145	1.5	1.4
01.01.2010 00:13:43.016 GMT+0300	1.4316	1.43148	4.7	3.2
01.01.2010 00:13:45.127 GMT+0300	1.43164	1.43152	1.5	4.2
01.01.2010 00:13:48.316 GMT+0300	1.43166	1.43156	14.1	2.5
01.01.2010 00:13:48.539 GMT+0300	1.43169	1.43156	1.2	1.5
01.01.2010 00:13:52.466 GMT+0300	1.43169	1.43154	1.5	3.6
01.01.2010 00:13:54.549 GMT+0300	1.43166	1.43154	5.7	1.7
01.01.2010 00:14:01.954 GMT+0300	1.43173	1.43159	4.4	1.5
01.01.2010 00:14:04.092 GMT+0300	1.43167	1.43155	1.5	1.5
01.01.2010 00:14:07.120 GMT+0300	1.43157	1.43145	3.1	3
01.01.2010 00:14:09.193 GMT+0300	1.43149	1.43137	8.3	1.5
01.01.2010 00:14:15.951 GMT+0300	1.43148	1.43136	1.5	1.7
01.01.2010 00:14:18.391 GMT+0300	1.43158	1.43145	1.5	20
01.01.2010 00:14:23.050 GMT+0300	1.43169	1.43157	4.7	1.5
01.01.2010 00:14:23.462 GMT+0300	1.43176	1.43166	5.1	1.5
01.01.2010 00:14:25.502 GMT+0300	1.43174	1.43162	2.5	4.5
01.01.2010 00:14:29.913 GMT+0300	1.43169	1.43157	2.9	1.5
01.01.2010 00:14:42.712 GMT+0300	1.43162	1.43149	1.2	2.3
01.01.2010 00:14:55.591 GMT+0300	1.43154	1.43142	1.7	17.1
01.01.2010 00:14:58.872 GMT+0300	1.4315	1.43138	4.9	3.8
01.01.2010 00:15:03.841 GMT+0300	1.43151	1.43139	4.5	1.5
01.01.2010 00:15:06.529 GMT+0300	1.4316	1.43149	7.9	4.5
01.01.2010 00:15:10.952 GMT+0300	1.43171	1.43159	1.9	1.5
01.01.2010 00:15:11.439 GMT+0300	1.43185	1.43173	1.7	2.5
01.01.2010 00:15:13.441 GMT+0300	1.43198	1.43186	5.3	1.5
01.01.2010 00:15:16.754 GMT+0300	1.43205	1.43195	3.2	2.1
01.01.2010 00:15:22.270 GMT+0300	1.43203	1.43192	1.7	1.5
01.01.2010 00:15:27.889 GMT+0300	1.43199	1.43187	1.5	3
01.01.2010 00:15:33.808 GMT+0300	1.43193	1.43183	5.3	4.5
01.01.2010 00:15:35.639 GMT+0300	1.43182	1.43178	10	2.3
01.01.2010 00:15:38.228 GMT+0300	1.43182	1.4317	3.8	1.5
01.01.2010 00:15:40.337 GMT+0300	1.43178	1.43164	12.8	1.4
01.01.2010 00:15:45.341 GMT+0300	1.43176	1.43162	8.3	1.5
01.01.2010 00:15:51.449 GMT+0300	1.43175	1.43163	1.5	1.7
01.01.2010 00:15:54.881 GMT+0300	1.43175	1.43163	2.3	1.5
01.01.2010 00:15:56.928 GMT+0300	1.43175	1.43163	1.5	1.5
01.01.2010 00:16:02.730 GMT+0300	1.43167	1.43157	4.7	1.7
01.01.2010 00:16:05.370 GMT+0300	1.43169	1.43156	9.8	1.5
01.01.2010 00:16:08.472 GMT+0300	1.43168	1.43154	2.7	1.7
01.01.2010 00:16:10.808 GMT+0300	1.43164	1.43151	1.5	4.4
01.01.2010 00:16:13.262 GMT+0300	1.43162	1.4315	9.8	1.5
01.01.2010 00:16:17.052 GMT+0300	1.43167	1.43154	3.4	1.5
01.01.2010 00:16:19.221 GMT+0300	1.4317	1.43157	8.5	1.5
01.01.2010 00:16:21.933 GMT+0300	1.43173	1.43163	3	2.1
01.01.2010 00:16:25.293 GMT+0300	1.43174	1.43164	2.1	11.6
01.01.2010 00:16:27.575 GMT+0300	1.43176	1.43166	6.6	1.9
01.01.2010 00:16:34.973 GMT+0300	1.43183	1.43171	2.3	2.1
01.01.2010 00:16:36.483 GMT+0300	1.43188	1.43176	1.9	4.5
01.01.2010 00:16:36.787 GMT+0300	1.43189	1.43177	1.5	1.5
01.01.2010 00:16:44.090 GMT+0300	1.43186	1.43175	1.2	17.3
01.01.2010 00:16:46.172 GMT+0300	1.4318	1.43169	2.5	3.4
01.01.2010 00:16:48.552 GMT+0300	1.43173	1.43162	1.5	2.1
01.01.2010 00:16:51.663 GMT+0300	1.43171	1.43159	1.5	3.4
01.01.2010 00:17:03.297 GMT+0300	1.43169	1.43157	5.7	1.5
01.01.2010 00:17:10.095 GMT+0300	1.43173	1.4316	1.5	2.5
01.01.2010 00:17:11.441 GMT+0300	1.43177	1.43163	2.5	1.5
01.01.2010 00:17:12.561 GMT+0300	1.43182	1.43167	3	4.7
01.01.2010 00:17:15.782 GMT+0300	1.43184	1.4317	1.5	1.3
01.01.2010 00:17:17.850 GMT+0300	1.43187	1.43174	1.5	2.9
01.01.2010 00:17:18.070 GMT+0300	1.43187	1.43182	3.4	2.3
01.01.2010 00:17:19.307 GMT+0300	1.43192	1.43178	1.5	1.8
01.01.2010 00:17:24.082 GMT+0300	1.4319	1.43177	2.3	3
01.01.2010 00:17:27.672 GMT+0300	1.43185	1.43173	2.9	2.8
01.01.2010 00:17:29.673 GMT+0300	1.43181	1.43169	1.5	1.7
01.01.2010 00:17:33.562 GMT+0300	1.43175	1.43168	1.4	2.3
01.01.2010 00:17:36.002 GMT+0300	1.43175	1.43165	1.5	1.5
01.01.2010 00:17:39.143 GMT+0300	1.43178	1.43165	3	1.2
01.01.2010 00:17:42.070 GMT+0300	1.43182	1.43169	1.5	3.2
01.01.2010 00:17:52.013 GMT+0300	1.43183	1.43171	1.8	1.4
01.01.2010 00:18:24.986 GMT+0300	1.43179	1.43165	1.9	2.3
01.01.2010 00:18:30.037 GMT+0300	1.43192	1.4318	1.2	3
01.01.2010 00:18:36.015 GMT+0300	1.4319	1.4318	12	2.3
01.01.2010 00:18:38.035 GMT+0300	1.43175	1.43163	15	3.4
01.01.2010 00:18:40.356 GMT+0300	1.43164	1.43152	1.5	1.5
01.01.2010 00:18:45.076 GMT+0300	1.43167	1.43155	3	1.3
01.01.2010 00:18:56.675 GMT+0300	1.43175	1.43163	2.7	1.5
01.01.2010 00:18:59.256 GMT+0300	1.4318	1.43168	1.5	1.2
01.01.2010 00:19:06.816 GMT+0300	1.43185	1.43173	1.5	2.7
